name,method,rank,dockq_native,fnat_native,plddt,iptm,plddt_CA,A_plddt_CA,B_plddt_CA,ptm,A_ptm,B_ptm,A_iptm,B_iptm,conserved_dockq,conserved_fnat,ppi_num,conserved_ppi_num,saltbridge_num,hbond_num,pication_num,pistack_num,halogen_bond_num,md_rmsd,md_rmsf,md_rmsf_top1,md_rmsf_top3,md_rmsf_top5,md_contact,md_contact_top1,md_contact_top3,md_contact_top5,len_peptide,dssp_H,dssp_E,dssp_C,concact_ratio,predicted_fnat_native
1ntv,chai1_with_msa,2,0.986848,1.0,96.372989,0.943808,98.163025,98.191447,97.731,0.9707975387573242,0.9693114161491394,0.2346735894680023,0.2162528038024902,0.9438083171844482,0.995353,1.0,11,11,0,11,0,0,0,2.011335,1.5862215,0.833001,0.9170859,1.0558031,6.9007,11.645,10.156333,9.3238,10,0,0,10,1.0,0.9777677
1ntv,chai1_with_msa,3,0.984571,1.0,96.399596,0.943456,98.179259,98.201842,97.836,0.9712094068527222,0.9696325063705444,0.2349491566419601,0.218107208609581,0.9434564113616944,0.994533,1.0,11,11,0,11,0,0,0,2.413115,2.1297467,1.280954,1.419642,1.6658703,6.8339,11.814,10.373667,9.4488,10,0,0,10,1.0,0.9541594
1ntv,chai1_with_msa,4,0.98849,1.0,96.385443,0.944145,98.168827,98.189408,97.856,0.9711869359016418,0.9695667028427124,0.2360094636678695,0.2181882262229919,0.9441452622413636,0.995713,1.0,10,10,0,10,0,0,0,2.714168,1.4036212,0.816853,0.89534587,1.0132124,7.0072,11.499,10.284667,9.4968,10,0,0,10,1.0,0.9604089
1rxz,chai1_with_msa,0,0.921416,0.944444,95.983416,0.894703,97.999219,98.105755,95.626364,0.9721254706382751,0.9709669947624208,0.1800439804792404,0.1724244654178619,0.8947033882141113,0.968752,0.958408,12,12,0,12,0,0,0,2.769105,1.5994511,0.850759,1.0036858,1.0832193,5.896545,10.287,9.015333,7.9406,11,4,0,7,1.0,0.91588354
1rxz,chai1_with_msa,1,0.895098,0.907407,95.953844,0.895233,97.978711,98.08849,95.533636,0.9722264409065248,0.9709038138389589,0.1805689036846161,0.1716943085193634,0.8952330350875854,0.9616,0.949828,12,11,0,12,0,0,0,2.540326,1.1839017,0.748245,0.7768422,0.8239177,6.318455,11.351,9.934333,8.8242,11,3,0,8,1.0,0.9142213
1rxz,chai1_with_msa,2,0.953622,0.962963,95.98357,0.893932,97.99793,98.106612,95.577273,0.972261369228363,0.971096396446228,0.1801147013902664,0.1721938997507095,0.8939321637153625,0.949195,0.926078,9,8,0,9,0,0,0,2.269786,1.5119693,1.017918,1.0571153,1.0933101,6.289182,11.192,9.829,8.6992,11,4,0,7,1.0,0.9020789
1rxz,chai1_with_msa,3,0.893673,0.87037,95.977195,0.894922,98.001133,98.108694,95.605455,0.9723130464553832,0.9709780812263488,0.1807070821523666,0.1724340170621872,0.8949224948883057,0.952372,0.918013,11,11,0,11,0,0,0,2.881301,1.4679561,0.954923,0.97227865,1.023071,6.133909,11.193,9.782333,8.7296,11,3,0,8,1.0,0.9039346
1rxz,chai1_with_msa,4,0.928664,0.925926,95.974515,0.895236,97.99375,98.105918,95.495455,0.972302258014679,0.9710031151771544,0.1803455948829651,0.1716450452804565,0.8952355980873108,0.972156,0.963209,11,11,0,11,0,0,0,2.071569,1.4578846,0.915351,0.9629529,1.0242351,6.162273,11.046,9.729667,8.4896,11,3,0,8,1.0,0.9245528
1ssh,chai1_with_msa,0,0.943283,0.933333,98.667426,0.913353,98.825352,98.894833,98.446364,0.9760839343070984,0.9722323417663574,0.2368918359279632,0.2272281497716903,0.913353145122528,0.993475,1.0,5,5,0,4,1,0,0,2.385015,1.2059005,0.579333,0.6603688,0.7258886,3.404182,7.83,6.949667,5.402,11,0,0,11,0.818182,0.9596876
1ssh,chai1_with_msa,1,0.957089,0.933333,98.664259,0.911449,98.819859,98.890833,98.432727,0.9758931398391724,0.971994161605835,0.2369047850370407,0.2272246032953262,0.9114487171173096,0.995848,1.0,5,5,0,4,1,0,0,2.423103,1.4689823,0.792241,0.8838291,0.96980876,3.437091,7.796,7.107,5.4762,11,0,0,11,0.818182,0.9564023
1ssh,chai1_with_msa,2,0.955016,0.933333,98.665148,0.913504,98.823803,98.895167,98.434545,0.9759846925735474,0.9721733331680298,0.2361549139022827,0.2264454960823059,0.9135035872459412,0.994938,1.0,5,5,0,4,1,0,0,2.372808,1.22754,0.671078,0.72249764,0.791768,3.426,7.831,7.065667,5.4558,11,0,0,11,0.818182,0.95510423
1ssh,chai1_with_msa,3,0.951852,0.933333,98.671222,0.911494,98.829718,98.895167,98.472727,0.9758137464523317,0.9720337986946106,0.2365654706954956,0.2271686941385269,0.911494255065918,0.996197,1.0,4,4,0,3,1,0,0,2.729134,1.2439566,0.623354,0.7026865,0.7679513,3.494818,7.784,7.21,5.553,11,0,0,11,0.818182,0.95502067
1ssh,chai1_with_msa,4,0.961897,0.933333,98.673796,0.91181,98.830563,98.894667,98.480909,0.9759143590927124,0.9720664024353028,0.2367630898952484,0.2267157435417175,0.9118101596832277,0.98257,0.966667,4,4,0,3,1,0,0,2.545917,1.2085869,0.537581,0.6475441,0.6888939,3.486545,7.838,7.187333,5.5526,11,0,0,11,0.818182,0.9426599
1x2r,chai1_with_msa,0,0.929017,0.837209,97.045937,0.936144,98.417458,98.563138,93.723333,0.981176733970642,0.9845737218856812,0.2211325764656067,0.1734579205513,0.9361442923545836,0.963945,0.906032,10,10,2,8,0,0,0,2.778936,0.75454056,0.435398,0.47577652,0.5166833,5.609111,12.245,10.022667,8.0832,9,0,0,9,1.0,0.86858356
1x2r,chai1_with_msa,1,0.917207,0.813953,96.966759,0.935976,98.335987,98.478724,93.736667,0.9807052612304688,0.9840746521949768,0.2212292253971099,0.1735600531101226,0.9359754920005798,0.961225,0.893534,10,10,2,8,0,0,0,2.325756,0.63284135,0.450784,0.466427,0.49784517,6.950667,13.786,11.891667,9.652,9,0,0,9,1.0,0.8195503
1x2r,chai1_with_msa,2,0.945269,0.906977,97.006055,0.936221,98.389599,98.539586,93.556667,0.981060028076172,0.9844421148300172,0.2206309139728546,0.1737624257802963,0.9362212419509888,0.983988,0.967578,10,9,2,8,0,0,0,2.34673,0.7768305,0.509576,0.559741,0.5811841,6.094,14.194,10.623667,8.7586,9,0,0,9,1.0,0.9229582
1x2r,chai1_with_msa,3,0.951655,0.906977,97.033845,0.936332,98.404582,98.551552,93.668889,0.9809747934341432,0.984382152557373,0.2212041318416595,0.1733602583408355,0.9363320469856262,0.976212,0.946066,11,11,2,9,0,0,0,1.966209,0.6959008,0.460008,0.49420133,0.5331944,6.862222,13.882,11.842333,9.458,9,0,0,9,1.0,0.89930946
1x2r,chai1_with_msa,4,0.921722,0.837209,96.945785,0.935928,98.320736,98.471966,93.447778,0.9810400009155272,0.9844291806221008,0.2178528010845184,0.1707553267478943,0.9359284043312072,0.972015,0.930142,10,9,2,8,0,0,0,2.098018,0.62557626,0.414959,0.44656643,0.4849879,6.691889,12.694,11.122333,9.2166,9,0,0,9,1.0,0.86217207
2a3i,chai1_with_msa,0,0.843131,0.875,91.973732,0.875794,94.52517,94.795138,88.833333,0.9595203995704652,0.9570280909538268,0.1906309276819229,0.1041264608502388,0.8757941126823425,0.909007,0.943219,5,5,0,5,0,0,0,3.642106,1.3368262,0.708557,0.77410346,0.8775374,3.199583,9.499,7.862333,5.9086,12,7,0,5,0.916667,0.8711847
2a3i,chai1_with_msa,1,0.839988,0.875,91.942011,0.874188,94.468943,94.685652,89.9,0.9589449167251588,0.9560617804527284,0.1960147321224212,0.1082651913166046,0.8741878867149353,0.875764,0.910089,5,5,0,5,0,0,0,3.160407,1.2874585,0.680685,0.78778905,0.8601532,3.176333,9.779,7.694,5.8602,12,7,0,5,0.833333,0.85521317
2a3i,chai1_with_msa,2,0.825999,0.84375,91.98155,0.874792,94.523057,94.742964,89.886667,0.9594446420669556,0.9566221833229064,0.1949110180139541,0.1070731431245803,0.8747917413711548,0.887273,0.910089,3,3,0,3,0,0,0,2.751856,1.3716022,0.736059,0.7425043,0.8629823,3.0285,9.217,7.541333,5.6944,12,7,0,5,0.833333,0.8636019
2a3i,chai1_with_msa,3,0.864256,0.90625,91.949806,0.874802,94.51166,94.784466,88.76,0.9595247507095336,0.9570850133895874,0.1913563311100006,0.1003675609827041,0.8748020529747009,0.906518,1.0,4,3,0,4,0,0,0,4.846893,1.3448157,0.639109,0.67867106,0.7645587,3.021917,8.289,7.269667,5.5326,12,7,0,5,0.916667,0.89701355
2a3i,chai1_with_msa,4,0.857623,0.84375,91.886813,0.875325,94.413245,94.668617,89.029167,0.9586374759674072,0.9560274481773376,0.1910338103771209,0.104495458304882,0.875325083732605,0.901692,0.925362,5,4,0,5,0,0,0,2.901353,1.3037956,0.63152,0.7013853,0.8016456,3.2855,9.481,7.595667,5.8102,12,7,0,5,0.916667,0.86832607
2cch,chai1_with_msa,0,0.952977,0.930233,96.266387,0.91828,98.123396,98.345234,93.390833,0.9858322739601136,0.985811173915863,0.1624113172292709,0.1636697649955749,0.9182795286178588,0.97149,0.976606,11,11,1,9,0,1,0,3.156135,1.139532,0.628183,0.89743835,0.9893206,4.597917,9.201,8.343333,7.4002,12,0,0,12,1.0,0.94541466
2cch,chai1_with_msa,1,0.967922,0.953488,96.269567,0.918343,98.119888,98.345391,93.309167,0.9859296083450316,0.9859397411346436,0.163195326924324,0.1628177464008331,0.9183430671691896,0.961014,0.964978,14,10,1,12,0,1,0,2.92264,1.2128348,0.82295,0.88909787,0.94850713,4.673,9.295,8.314333,7.4454,12,0,0,12,1.0,0.9291818
2cch,chai1_with_msa,2,0.935118,0.930233,96.279032,0.918284,98.129664,98.348828,93.454167,0.9858772158622742,0.9858540892601012,0.1635581105947494,0.1644737422466278,0.9182843565940856,0.979083,0.988234,12,10,2,9,0,1,0,2.62593,1.5673594,0.950681,1.0866166,1.1642463,4.950833,9.763,8.374667,7.5308,12,0,0,12,1.0,0.9578438
2cch,chai1_with_msa,3,0.951568,0.953488,96.284682,0.919782,98.138433,98.351758,93.5875,0.9859280586242676,0.9858745336532592,0.1638576686382293,0.1654709577560424,0.9197821617126464,0.979206,0.988372,11,10,0,10,0,1,0,3.130105,1.3905258,0.895365,0.9738062,1.0357583,4.8365,8.761,7.785333,7.1102,12,0,0,12,1.0,0.9346471
2cch,chai1_with_msa,4,0.927611,0.930233,96.284406,0.920064,98.135187,98.350195,93.548333,0.9859195351600648,0.9858748316764832,0.1643297970294952,0.1671974062919616,0.9200644493103028,0.975532,0.988234,11,11,0,10,0,1,0,2.777909,1.3902744,0.738424,0.829729,0.9184028,4.859667,9.5,8.351667,7.539,12,0,0,12,1.0,0.93403435
1awr,chai1_with_msa,0,0.941475,0.909091,94.925779,0.836916,97.258176,97.376951,94.011667,0.976466953754425,0.976332426071167,0.1914699077606201,0.1630696654319763,0.8369157910346985,0.974976,0.947638,5,4,0,5,0,0,0,2.203438,0.5557175,0.454925,0.4944451,0.5288995,6.886667,9.96,9.054,7.4092,6,0,0,6,1.0,0.9515722
1awr,chai1_with_msa,1,0.935256,0.909091,94.895077,0.835325,97.235412,97.356341,93.93,0.9763196110725404,0.9761722087860109,0.1921690702438354,0.1626067459583282,0.835324764251709,0.985462,0.970143,5,4,0,5,0,0,0,3.097757,0.46223137,0.410559,0.43340945,0.45332122,7.4025,9.736,9.447333,7.9214,6,0,0,6,1.0,0.9562968
1awr,chai1_with_msa,2,0.945556,0.939394,94.925671,0.835981,97.256941,97.374695,94.038333,0.9765090346336364,0.9763566255569458,0.1910741627216339,0.1635197401046753,0.8359813690185547,0.98109,0.955214,5,4,0,5,0,0,0,2.271834,0.816737,0.576721,0.6503305,0.7268546,6.606667,9.708,8.813,7.2878,6,0,0,6,1.0,0.9551836
1awr,chai1_with_msa,3,0.941472,0.939394,94.948858,0.836051,97.271471,97.390488,94.018333,0.9765057563781738,0.976369321346283,0.1912542879581451,0.16233991086483,0.8360506296157837,0.984742,0.96946,5,4,0,5,0,0,0,2.624178,0.63030165,0.536347,0.5551556,0.6045004,6.9335,9.555,8.907333,7.365,6,0,0,6,1.0,0.9625467
1awr,chai1_with_msa,4,0.934177,0.909091,94.908935,0.837705,97.248529,97.365793,94.043333,0.9765899777412416,0.9764655232429504,0.1913284659385681,0.1615934520959854,0.8377052545547485,0.983036,0.962107,5,4,0,5,0,0,0,2.287417,0.45056283,0.389144,0.42097268,0.4422195,7.339333,10.31,9.578333,7.9294,6,0,0,6,1.0,0.9435683
1er8,chai1_with_msa,0,0.941655,0.907692,97.807151,0.884046,98.52858,98.673818,92.5375,0.9881100058555604,0.9882450699806212,0.1870598793029785,0.1955943405628204,0.8840463161468506,0.977675,0.965559,10,9,1,9,0,0,0,,,,,,,,,,8,0,0,8,1.0,0.9142575
1er8,chai1_with_msa,1,0.964482,0.938462,97.795849,0.884804,98.516391,98.659273,92.6225,0.9883922338485718,0.9885362386703492,0.1876339763402938,0.1972232609987259,0.8848036527633667,0.984971,0.980826,9,8,1,8,0,0,0,,,,,,,,,,8,0,0,8,1.0,0.92485714
1er8,chai1_with_msa,2,0.962035,0.938462,97.792177,0.884462,98.513136,98.657061,92.57625,0.9884392023086548,0.98861163854599,0.1863492429256439,0.1949356347322464,0.884462296962738,0.987907,0.988401,9,8,1,8,0,0,0,,,,,,,,,,8,0,0,8,1.0,0.9272207
1er8,chai1_with_msa,3,0.956555,0.938462,97.802458,0.883394,98.525828,98.671455,92.51875,0.9881219267845154,0.988253891468048,0.187340497970581,0.1960976868867874,0.8833942413330078,0.98591,0.984614,10,9,1,9,0,0,0,,,,,,,,,,8,0,0,8,1.0,0.9281298
1er8,chai1_with_msa,4,0.961978,0.938462,97.790997,0.882875,98.518136,98.663818,92.50875,0.988331139087677,0.988441288471222,0.1866703033447265,0.194808691740036,0.882874608039856,0.985229,0.980826,9,9,1,8,0,0,0,,,,,,,,,,8,0,0,8,1.0,0.92693514
1nvr,chai1_with_msa,0,0.938382,0.88,95.985426,0.632234,97.300186,97.54053,84.61,0.985308051109314,0.983128547668457,0.2030738592147827,0.1116498708724975,0.6322342157363892,0.988264,0.98913,4,4,0,4,0,0,0,2.355076,0.86693084,0.492916,0.63245577,0.86693084,6.2112,9.923,7.257,6.2112,5,0,0,5,1.0,0.94018674
1nvr,chai1_with_msa,1,0.932533,0.88,96.153654,0.631171,97.481078,97.718144,84.964,0.9856719374656676,0.983513593673706,0.2037326991558075,0.1105124950408935,0.6311712265014648,0.989611,0.98913,4,4,0,4,0,0,0,2.86602,0.77922285,0.465244,0.62153155,0.77922285,5.6944,9.733,6.654,5.6944,5,0,0,5,1.0,0.943815
1nvr,chai1_with_msa,2,0.930769,0.88,96.179176,0.632018,97.502565,97.743258,84.794,0.985583245754242,0.9834603667259216,0.2039135992527008,0.1098256632685661,0.6320177912712097,0.987425,0.98913,4,4,0,4,0,0,0,2.816452,0.9258726,0.496293,0.72510433,0.9258726,5.7532,9.357,6.643333,5.7532,5,0,0,5,1.0,0.94314146
1nvr,chai1_with_msa,3,0.950417,0.92,96.165352,0.633956,97.492379,97.728712,85.014,0.9858754277229308,0.983653724193573,0.2039830833673477,0.1126290261745452,0.6339555382728577,0.9891,1.0,5,4,0,5,0,0,0,3.316122,1.0140245,0.572528,0.7741464,1.0140246,5.8206,10.008,7.144333,5.8206,5,0,0,5,1.0,0.9049455
1nvr,chai1_with_msa,4,0.932124,0.88,96.148932,0.633067,97.485093,97.724735,84.832,0.98545503616333,0.9833741188049316,0.2037644982337951,0.1098716557025909,0.6330666542053223,0.986413,0.98913,5,4,0,5,0,0,0,2.326983,0.92272913,0.521981,0.70650023,0.92272913,5.8486,10.173,6.790667,5.8486,5,0,0,5,1.0,0.94774026
1nx1,chai1_with_msa,0,0.959833,0.925,95.473318,0.925115,97.639511,97.624971,97.868182,0.9710749983787536,0.9694133400917052,0.2593201696872711,0.1939230114221573,0.9251149892807008,0.984812,0.962179,6,6,2,4,0,0,0,2.788908,1.4429356,0.733736,0.7831626,0.9517506,4.251091,9.329,7.888333,6.756,11,6,0,5,1.0,0.91947675
1nx1,chai1_with_msa,1,0.95979,0.925,95.547653,0.925236,97.701087,97.690983,97.86,0.971424162387848,0.9698601365089417,0.2591878473758697,0.1934039294719696,0.9252358675003052,0.991438,0.98109,5,5,2,3,0,0,0,2.399679,1.6590335,0.88458,0.998513,1.1769803,4.119273,9.105,7.764,6.4204,11,7,0,4,1.0,0.9274984
1nx1,chai1_with_msa,2,0.968786,0.95,95.468942,0.925111,97.634565,97.620694,97.852727,0.970981240272522,0.9693391919136048,0.2592693269252777,0.1942550539970398,0.9251111745834352,0.995314,0.99359,5,5,2,3,0,0,0,2.689398,1.5603824,0.829339,0.88786787,1.0643368,4.064545,10.055,7.991667,6.6134,11,6,0,5,1.0,0.9332665
1nx1,chai1_with_msa,3,0.960837,0.925,95.478962,0.924772,97.645924,97.63341,97.842727,0.9711648225784302,0.9695641398429872,0.2581413388252258,0.1925781816244125,0.9247721433639526,0.990559,0.98109,6,6,2,4,0,0,0,3.46772,1.5797572,0.841193,0.8846418,1.06355,4.471273,9.888,8.062667,6.9404,11,6,0,5,1.0,0.91810346
1nx1,chai1_with_msa,4,0.96822,0.95,95.473209,0.924976,97.634348,97.619884,97.861818,0.970948338508606,0.9693316221237184,0.2604177594184875,0.1932715475559234,0.9249760508537292,0.995398,0.99359,4,4,2,2,0,0,0,2.734329,1.5088725,0.792827,0.84930515,1.0463307,4.195,10.425,8.207333,6.8796,11,6,0,5,1.0,0.932716
1ou8,chai1_with_msa,0,0.978249,0.977273,98.436847,0.963183,98.879474,98.890189,98.7375,0.983501672744751,0.982140839099884,0.2816201746463775,0.2683482468128204,0.963183343410492,0.989681,0.982955,10,10,0,10,0,0,0,1.70542,0.9399891,0.695511,0.7033468,0.74147177,7.0465,11.281,10.052667,8.9056,8,0,0,8,1.0,0.9813297
1ou8,chai1_with_msa,1,0.981814,1.0,98.429779,0.963309,98.878684,98.889528,98.735,0.9833725690841676,0.9820533990859984,0.2809654474258423,0.2672763168811798,0.963309407234192,0.994477,1.0,12,12,0,12,0,0,0,1.522349,0.9053124,0.589437,0.6359071,0.67218775,7.034875,11.334,10.065667,8.9166,8,0,0,8,1.0,0.99381447
1ou8,chai1_with_msa,2,0.976265,0.977273,98.428684,0.964257,98.876491,98.887264,98.73375,0.9834216833114624,0.982096254825592,0.2817694246768951,0.2668664455413818,0.9642567038536072,0.990095,0.982955,11,11,0,11,0,0,0,1.986958,0.86195606,0.584041,0.62679976,0.66978395,7.160375,11.812,10.378333,9.0818,8,0,0,8,1.0,0.97235125
1ou8,chai1_with_msa,3,0.983455,1.0,98.434093,0.963271,98.879825,98.891226,98.72875,0.9834824800491332,0.9821794033050536,0.2807137370109558,0.2686116397380829,0.963271141052246,0.996295,1.0,11,11,0,11,0,0,0,1.509153,0.90274394,0.587134,0.6274483,0.6718799,6.66,10.266,9.368,8.2296,8,0,0,8,1.0,1.0027764
1ou8,chai1_with_msa,4,0.986544,1.0,98.432058,0.962814,98.879386,98.890472,98.7325,0.9836899042129515,0.9824133515357972,0.2804526686668396,0.267274796962738,0.9628143906593324,0.994838,1.0,12,12,0,12,0,0,0,1.727962,0.8954607,0.60013,0.6249382,0.65563655,7.127,11.673,10.221333,9.0614,8,0,0,8,1.0,0.9863737
1u00,chai1_with_msa,0,0.914336,0.895833,95.327769,0.866911,97.038729,97.17859,93.511111,0.9378200173377992,0.9362890720367432,0.1711335182189941,0.132938876748085,0.8669110536575317,0.942444,0.897404,8,7,0,8,0,0,0,2.720106,2.6260486,1.633305,1.7169768,1.9304507,6.945111,11.67,10.538333,9.2774,9,0,0,9,0.888889,0.8931034
1u00,chai1_with_msa,1,0.920645,0.979167,95.340355,0.8643,97.035847,97.174581,93.536667,0.935422658920288,0.9338656663894652,0.1725596189498901,0.1332346498966217,0.864299476146698,0.970867,0.994681,9,8,0,9,0,0,0,3.154535,2.6487517,1.816301,1.930337,2.11933,6.622444,11.879,10.633,9.3468,9,0,0,9,1.0,0.93434453
1u00,chai1_with_msa,2,0.937524,0.958333,95.328868,0.865413,97.033602,97.162511,93.782222,0.9377468824386596,0.9361402988433838,0.1737281233072281,0.1348817199468612,0.8654126524925232,0.956836,0.95902,10,9,0,10,0,0,0,3.51167,2.7727373,1.721076,1.7835499,1.9048303,6.692,11.85,10.588667,9.2218,9,0,0,9,0.888889,0.9228246
1u00,chai1_with_msa,3,0.902956,0.916667,95.305037,0.864883,97.024661,97.151057,93.836667,0.937407612800598,0.9357826709747314,0.1705821752548217,0.1320714801549911,0.8648829460144043,0.945812,0.933427,8,7,0,8,0,0,0,3.413684,2.7454386,1.78138,1.8378344,2.016512,6.640222,11.934,10.800333,9.3758,9,0,0,9,0.888889,0.90708333
1u00,chai1_with_msa,4,0.915661,0.916667,95.387786,0.86725,97.076483,97.214758,93.588889,0.9379748106002808,0.9364033341407776,0.1717928200960159,0.1332999020814895,0.867249608039856,0.95142,0.938988,12,10,1,11,0,0,0,2.85151,2.8567343,2.128225,2.2011263,2.2927594,6.707778,12.104,10.743,9.4112,9,0,0,9,0.888889,0.92968893
2b9h,chai1_with_msa,0,0.899007,0.918367,87.178284,0.670559,90.188338,90.720772,75.235833,0.9490308165550232,0.949422001838684,0.093704268336296,0.0754749923944473,0.6705589890480042,0.90328,0.854866,8,8,2,6,0,0,0,2.895659,0.9744409,0.626279,0.7143035,0.7529799,4.435833,10.782,9.621,8.096,12,0,0,12,0.916667,0.86620283
2b9h,chai1_with_msa,1,0.915394,0.959184,87.111943,0.670113,90.11212,90.648457,75.05,0.9489505290985109,0.9493168592453004,0.0939365178346633,0.0753711387515068,0.6701131463050842,0.896493,0.845859,12,7,3,9,0,0,0,2.649221,1.30329,0.804781,0.88031864,0.9829073,4.87425,11.043,8.994333,7.7974,12,0,0,12,0.916667,0.85813224
2b9h,chai1_with_msa,2,0.888887,0.857143,87.145545,0.668491,90.155129,90.683947,75.304167,0.948384404182434,0.948767900466919,0.093141421675682,0.0750988870859146,0.6684912443161011,0.888715,0.838906,13,9,4,9,0,0,0,2.873588,1.2987257,0.843754,0.9158619,1.0046747,4.852917,11.104,8.864667,7.6946,12,0,0,12,0.916667,0.85847026
